run,label,text_params,image_params,epoch,loss,val_i2t_r1,val_i2t_r5,val_i2t_r10,val_t2i_r1,gamma,hardest_negative_margin,grad_norm,seconds
long,"1 qubit/type, 2 layers (reference executor)",1156525,159668,55,3.7111,0.108,0.339,0.493,0.079,0.3839,-0.0975,0.5018,8660.7
long,"1 qubit/type, 2 layers (reference executor)",1156525,159668,56,3.7068,0.102,0.343,0.493,0.0845,0.3841,-0.0971,0.5019,8360.7
long,"1 qubit/type, 2 layers (reference executor)",1156525,159668,57,3.7057,0.117,0.358,0.505,0.0816,0.3854,-0.0976,0.5063,8309.5
long,"1 qubit/type, 2 layers (reference executor)",1156525,159668,58,3.7003,0.106,0.35,0.491,0.0822,0.3852,-0.0971,0.5066,8331.2
long,"1 qubit/type, 2 layers (reference executor)",1156525,159668,59,3.7008,0.101,0.333,0.488,0.0818,0.3846,-0.0974,0.5025,8403.0
n1l3,n1l3,1734787,159668,0,5.4161,0.008,0.03,0.061,0.0064,0.1095,-0.1851,0.0993,1430.0
n1l3,n1l3,1734787,159668,1,5.081,0.017,0.078,0.123,0.0104,0.181,-0.179,0.2474,1462.7
n1l3,n1l3,1734787,159668,2,4.8468,0.029,0.105,0.177,0.015,0.2258,-0.1648,0.3257,1389.6
n1l3,n1l3,1734787,159668,3,4.6788,0.027,0.134,0.212,0.0219,0.2548,-0.1574,0.368,1421.3
n1l3,n1l3,1734787,159668,4,4.5595,0.04,0.155,0.238,0.0261,0.2748,-0.1509,0.3791,1364.5
n1l3,n1l3,1734787,159668,5,4.4667,0.045,0.17,0.275,0.0301,0.2886,-0.1443,0.394,1391.8
n1l3,n1l3,1734787,159668,6,4.3944,0.059,0.188,0.288,0.0357,0.301,-0.1414,0.403,1397.7
n1l3,n1l3,1734787,159668,7,4.3286,0.056,0.209,0.302,0.0405,0.3094,-0.1373,0.4113,1393.0
n1l3,n1l3,1734787,159668,8,4.2816,0.058,0.206,0.324,0.0425,0.3179,-0.1324,0.4166,1315.4
n1l3,n1l3,1734787,159668,9,4.2328,0.07,0.228,0.335,0.0473,0.3239,-0.129,0.4149,1353.4
n1l3,n1l3,1734787,159668,10,4.196,0.064,0.219,0.348,0.0493,0.3301,-0.1253,0.4235,1358.5
n1l3,n1l3,1734787,159668,11,4.1576,0.071,0.225,0.346,0.0524,0.3334,-0.1228,0.4254,1352.7
n1l4,n1l4,2313049,159668,0,5.339,0.013,0.06,0.103,0.0092,0.1539,-0.1897,0.2085,1921.4
n1l4,n1l4,2313049,159668,1,4.9258,0.024,0.097,0.164,0.016,0.2192,-0.1774,0.3786,2020.8
n1l4,n1l4,2313049,159668,2,4.7239,0.039,0.108,0.185,0.0251,0.2547,-0.167,0.3849,1885.1
n1l4,n1l4,2313049,159668,3,4.5874,0.036,0.143,0.234,0.0287,0.2768,-0.1578,0.3884,1985.6
n1l4,n1l4,2313049,159668,4,4.4831,0.046,0.166,0.251,0.0317,0.2921,-0.1517,0.3918,1929.9
n1l4,n1l4,2313049,159668,5,4.4002,0.054,0.178,0.275,0.0339,0.3045,-0.1493,0.4057,1978.1
n1l4,n1l4,2313049,159668,6,4.329,0.054,0.193,0.302,0.0437,0.3153,-0.1464,0.4106,1887.5
n1l4,n1l4,2313049,159668,7,4.2691,0.054,0.195,0.303,0.0413,0.3235,-0.1425,0.4214,1911.3
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,0,5.4391,0.009,0.042,0.066,0.0058,0.1149,-0.193,0.1107,15746.5
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,1,5.053,0.017,0.081,0.134,0.0134,0.2011,-0.2026,0.2996,16339.9
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,2,4.7676,0.033,0.116,0.189,0.0197,0.256,-0.1842,0.2752,12913.5
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,3,4.5726,0.034,0.145,0.236,0.0247,0.2867,-0.1691,0.2781,12491.5
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,4,4.4481,0.051,0.182,0.28,0.0339,0.3059,-0.1581,0.2852,12268.6
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,5,4.3433,0.062,0.203,0.318,0.0369,0.3212,-0.149,0.294,12249.1
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,6,4.2583,0.062,0.217,0.333,0.0465,0.3323,-0.1413,0.303,12117.5
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,7,4.1919,0.061,0.234,0.367,0.0497,0.342,-0.136,0.3127,12075.7
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,8,4.1349,0.065,0.239,0.379,0.0528,0.3488,-0.1318,0.3215,11891.3
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,9,4.0889,0.074,0.239,0.396,0.0596,0.3548,-0.1275,0.3276,11940.5
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,10,4.0472,0.08,0.251,0.401,0.0618,0.3602,-0.1257,0.3338,11697.5
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,11,4.0099,0.083,0.27,0.425,0.0652,0.3652,-0.123,0.3403,11773.8
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,12,3.9736,0.083,0.276,0.415,0.066,0.3697,-0.1215,0.3447,12263.3
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,13,3.9467,0.094,0.3,0.436,0.0676,0.3724,-0.1182,0.3486,12111.0
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,14,3.9161,0.095,0.306,0.445,0.0716,0.3755,-0.117,0.3502,12028.4
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,15,3.8951,0.094,0.319,0.444,0.0702,0.3776,-0.1151,0.3552,11975.7
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,16,3.8701,0.096,0.323,0.45,0.0718,0.3817,-0.1137,0.3565,11816.2
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,17,3.8537,0.094,0.328,0.475,0.0776,0.3838,-0.1133,0.3607,11658.7
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,18,3.8316,0.094,0.322,0.47,0.075,0.3867,-0.1129,0.3635,11708.5
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,19,3.8152,0.095,0.335,0.463,0.0768,0.3883,-0.1117,0.3633,11620.4
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,20,3.7992,0.101,0.317,0.463,0.0756,0.3904,-0.111,0.3666,11758.6
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,21,3.7831,0.105,0.332,0.459,0.0784,0.3922,-0.1101,0.3702,12150.5
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,22,3.7642,0.101,0.326,0.469,0.0784,0.3932,-0.1095,0.3728,13691.1
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,23,3.7589,0.093,0.323,0.469,0.0796,0.3952,-0.1091,0.3698,13391.8
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,24,3.7458,0.1,0.335,0.494,0.0841,0.3959,-0.1087,0.3756,13967.2
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,25,3.7228,0.109,0.345,0.483,0.0849,0.3965,-0.1071,0.3742,13676.6
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,26,3.7114,0.093,0.343,0.488,0.0824,0.3986,-0.1081,0.3773,13640.6
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,27,3.7028,0.097,0.338,0.505,0.0816,0.4001,-0.1076,0.3799,14067.0
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,28,3.6922,0.102,0.334,0.498,0.0845,0.4013,-0.1072,0.3834,15057.4
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,29,3.6774,0.085,0.36,0.505,0.0843,0.4021,-0.107,0.3803,14380.8
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,30,3.6721,0.108,0.331,0.501,0.0843,0.4033,-0.1064,0.3848,13410.2
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,31,3.6623,0.103,0.338,0.509,0.0835,0.4034,-0.1064,0.3866,11777.2
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,32,3.6548,0.102,0.333,0.487,0.0867,0.4047,-0.1061,0.3846,11569.6
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,33,3.6425,0.103,0.34,0.494,0.0891,0.4052,-0.1059,0.3897,11659.8
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,34,3.6373,0.111,0.346,0.495,0.0919,0.4057,-0.1055,0.3895,12661.3
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,35,3.6314,0.101,0.343,0.505,0.0913,0.4069,-0.1051,0.3904,12707.0
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,36,3.6171,0.107,0.33,0.492,0.0907,0.4076,-0.1057,0.3902,12891.7
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,37,3.6111,0.101,0.338,0.489,0.0889,0.4081,-0.1046,0.3916,11950.2
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,38,3.6045,0.11,0.344,0.492,0.0919,0.4082,-0.1045,0.3926,11788.4
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,39,3.5991,0.099,0.34,0.503,0.0917,0.4097,-0.1049,0.3938,11845.2
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,40,3.5909,0.115,0.349,0.497,0.0923,0.4106,-0.104,0.398,11851.1
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,41,3.5828,0.119,0.351,0.524,0.0959,0.4112,-0.1039,0.3957,11867.8
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,42,3.5773,0.106,0.341,0.5,0.0889,0.4109,-0.1043,0.398,11997.2
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,43,3.5702,0.103,0.351,0.507,0.0953,0.4121,-0.1043,0.3956,13488.6
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,44,3.5649,0.119,0.349,0.512,0.0915,0.4134,-0.1034,0.3978,12374.4
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,45,3.5587,0.108,0.35,0.514,0.0929,0.4129,-0.1035,0.3986,11850.2
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,46,3.553,0.122,0.346,0.504,0.0959,0.4145,-0.1034,0.4009,11863.8
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,47,3.5455,0.119,0.336,0.499,0.0941,0.4148,-0.1032,0.4008,11989.8
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,48,3.5411,0.121,0.357,0.504,0.0897,0.4144,-0.1032,0.3997,12124.0
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,49,3.5346,0.119,0.353,0.529,0.0897,0.4151,-0.1031,0.4009,11879.1
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,50,3.5276,0.118,0.364,0.512,0.0947,0.4161,-0.1026,0.4019,11688.2
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,51,3.5253,0.114,0.36,0.51,0.0973,0.4155,-0.1019,0.4022,11685.1
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,52,3.5186,0.117,0.355,0.505,0.0943,0.417,-0.1021,0.4042,11533.1
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,53,3.5108,0.112,0.36,0.518,0.0941,0.4173,-0.1017,0.4033,11674.7
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,54,3.5097,0.117,0.37,0.523,0.0901,0.4182,-0.1023,0.4051,11599.3
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,55,3.502,0.123,0.368,0.508,0.0891,0.4181,-0.1018,0.4075,11524.5
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,56,3.4963,0.13,0.369,0.511,0.0967,0.4183,-0.1017,0.4079,11456.0
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,57,3.4916,0.115,0.368,0.517,0.0893,0.4193,-0.1022,0.4102,11547.1
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,58,3.4877,0.122,0.359,0.498,0.0911,0.42,-0.1019,0.4082,12099.2
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,59,3.4813,0.119,0.354,0.516,0.0893,0.4202,-0.1013,0.4086,12159.2
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,60,3.4793,0.122,0.366,0.512,0.0961,0.4202,-0.1003,0.409,11833.6
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,61,3.4728,0.124,0.369,0.507,0.0945,0.4212,-0.1004,0.4125,11863.0
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,62,3.4659,0.125,0.356,0.517,0.0973,0.4215,-0.1005,0.4095,11881.9
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,63,3.4651,0.13,0.369,0.523,0.0959,0.4221,-0.1,0.4126,11852.9
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,64,3.4563,0.113,0.379,0.52,0.0921,0.4228,-0.0998,0.4133,11912.0
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,65,3.4482,0.132,0.378,0.523,0.0943,0.4228,-0.0999,0.4145,11970.3
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,66,3.4471,0.129,0.356,0.523,0.0979,0.4238,-0.0999,0.4148,11766.0
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,67,3.4433,0.116,0.37,0.525,0.0943,0.4244,-0.0997,0.4168,11852.7
n2,"2 qubits/type, 2 layers (reference executor)",1919023,159668,68,3.4356,0.122,0.381,0.531,0.0997,0.4254,-0.0989,0.4182,11946.5
n2l3,"2 qubits/type, 3 layers",2878534,159668,0,5.405,0.009,0.043,0.084,0.0086,0.1289,-0.2103,0.0971,1457.9
n2l3,"2 qubits/type, 3 layers",2878534,159668,1,5.0111,0.019,0.087,0.152,0.0148,0.2057,-0.2063,0.2871,1413.8
n2l3,"2 qubits/type, 3 layers",2878534,159668,2,4.8008,0.027,0.112,0.192,0.0215,0.2453,-0.1917,0.3205,1526.7
n2l3,"2 qubits/type, 3 layers",2878534,159668,3,4.6472,0.039,0.126,0.233,0.0257,0.2718,-0.1806,0.3413,1630.0
n2l3,"2 qubits/type, 3 layers",2878534,159668,4,4.51,0.038,0.164,0.271,0.0315,0.2935,-0.1698,0.3671,1639.8
n2l3,"2 qubits/type, 3 layers",2878534,159668,5,4.3961,0.056,0.191,0.309,0.0347,0.3107,-0.1599,0.3892,1667.6
n2l3,"2 qubits/type, 3 layers",2878534,159668,6,4.3037,0.061,0.221,0.33,0.0413,0.3237,-0.1516,0.3986,1445.1
n2l3,"2 qubits/type, 3 layers",2878534,159668,7,4.2193,0.065,0.232,0.352,0.0451,0.3361,-0.1449,0.4083,1416.1
n2l3,"2 qubits/type, 3 layers",2878534,159668,8,4.1383,0.076,0.246,0.374,0.0506,0.3461,-0.1398,0.4139,1244.1
n2l3,"2 qubits/type, 3 layers",2878534,159668,9,4.0727,0.077,0.264,0.39,0.0514,0.3563,-0.1346,0.425,1481.7
n2l3,"2 qubits/type, 3 layers",2878534,159668,10,4.0145,0.082,0.263,0.399,0.0616,0.3636,-0.1306,0.431,1392.8
n2l3,"2 qubits/type, 3 layers",2878534,159668,11,3.9603,0.091,0.284,0.425,0.0568,0.3703,-0.1274,0.4383,1409.6
n2l3,"2 qubits/type, 3 layers",2878534,159668,12,3.9157,0.092,0.297,0.45,0.0646,0.3773,-0.1243,0.4439,1469.1
n2l3,"2 qubits/type, 3 layers",2878534,159668,13,3.8703,0.102,0.299,0.457,0.0668,0.3824,-0.1206,0.4536,1477.7
n2l3,"2 qubits/type, 3 layers",2878534,159668,14,3.832,0.096,0.301,0.463,0.0656,0.3873,-0.119,0.4535,1432.0
n2l3,"2 qubits/type, 3 layers",2878534,159668,15,3.7918,0.093,0.316,0.451,0.0736,0.3924,-0.1171,0.4598,1387.2
n2l3,"2 qubits/type, 3 layers",2878534,159668,16,3.7575,0.094,0.323,0.462,0.0718,0.3961,-0.1164,0.4634,1479.3
n2l3,"2 qubits/type, 3 layers",2878534,159668,17,3.7242,0.11,0.325,0.47,0.0726,0.3993,-0.1134,0.4707,1389.9
n2l3,"2 qubits/type, 3 layers",2878534,159668,18,3.6959,0.107,0.331,0.497,0.0756,0.4031,-0.1116,0.4758,1384.1
n2l3,"2 qubits/type, 3 layers",2878534,159668,19,3.6647,0.099,0.34,0.489,0.0786,0.4065,-0.1106,0.4772,1548.9
n2l3,"2 qubits/type, 3 layers",2878534,159668,20,3.6442,0.11,0.335,0.497,0.0812,0.4089,-0.109,0.483,1351.2
n2l3,"2 qubits/type, 3 layers",2878534,159668,21,3.6148,0.121,0.348,0.515,0.0806,0.4111,-0.1082,0.4844,1319.7
n2l3,"2 qubits/type, 3 layers",2878534,159668,22,3.5937,0.112,0.346,0.51,0.0867,0.4129,-0.107,0.4863,1348.9
n2l3,"2 qubits/type, 3 layers",2878534,159668,23,3.5722,0.11,0.352,0.535,0.0883,0.4141,-0.106,0.4915,1428.6
n2l3,"2 qubits/type, 3 layers",2878534,159668,24,3.555,0.111,0.35,0.514,0.0871,0.4166,-0.1048,0.4968,1338.9
n2l3,"2 qubits/type, 3 layers",2878534,159668,25,3.5335,0.106,0.364,0.538,0.0915,0.4185,-0.1042,0.495,1339.5
n2l3,"2 qubits/type, 3 layers",2878534,159668,26,3.513,0.104,0.362,0.521,0.0923,0.4202,-0.1035,0.4992,1359.6
n2l3,"2 qubits/type, 3 layers",2878534,159668,27,3.4973,0.112,0.372,0.544,0.0945,0.4224,-0.1027,0.5028,1336.1
n2l3,"2 qubits/type, 3 layers",2878534,159668,28,3.4841,0.11,0.375,0.541,0.0979,0.4243,-0.1014,0.5063,1310.7
n2l3,"2 qubits/type, 3 layers",2878534,159668,29,3.468,0.114,0.397,0.547,0.0969,0.4257,-0.1005,0.5075,1260.2
n2l3,"2 qubits/type, 3 layers",2878534,159668,30,3.4528,0.117,0.391,0.563,0.0971,0.4264,-0.1014,0.5073,1315.9
n2l3,"2 qubits/type, 3 layers",2878534,159668,31,3.4384,0.125,0.395,0.551,0.0955,0.4279,-0.0994,0.5105,1208.5
n2l3,"2 qubits/type, 3 layers",2878534,159668,32,3.4236,0.121,0.393,0.565,0.0997,0.4291,-0.0995,0.5104,1249.2
n2l3,"2 qubits/type, 3 layers",2878534,159668,33,3.4116,0.121,0.402,0.564,0.1035,0.4302,-0.0988,0.5134,1280.6
n2l3,"2 qubits/type, 3 layers",2878534,159668,34,3.4017,0.128,0.399,0.571,0.1025,0.4314,-0.0983,0.5128,1209.1
n2l3,"2 qubits/type, 3 layers",2878534,159668,35,3.3852,0.149,0.41,0.558,0.1003,0.4324,-0.0976,0.519,1208.4
n2l3,"2 qubits/type, 3 layers",2878534,159668,36,3.3779,0.126,0.398,0.565,0.0999,0.4342,-0.0974,0.5184,1203.5
n2l3,"2 qubits/type, 3 layers",2878534,159668,37,3.3698,0.12,0.404,0.575,0.1041,0.4345,-0.0967,0.5206,1267.1
n2l3,"2 qubits/type, 3 layers",2878534,159668,38,3.3595,0.132,0.416,0.565,0.1113,0.4357,-0.0965,0.5238,1209.5
n2l3,"2 qubits/type, 3 layers",2878534,159668,39,3.3468,0.137,0.412,0.583,0.1077,0.4377,-0.0965,0.5229,1208.3
n2l3,"2 qubits/type, 3 layers",2878534,159668,40,3.3365,0.121,0.41,0.579,0.1067,0.4373,-0.0964,0.5274,1264.7
n2l3,"2 qubits/type, 3 layers",2878534,159668,41,3.3264,0.133,0.439,0.592,0.1093,0.4393,-0.0947,0.5235,1192.3
n2l3,"2 qubits/type, 3 layers",2878534,159668,42,3.317,0.135,0.426,0.602,0.1119,0.4398,-0.0953,0.5262,1185.4
n2l3,"2 qubits/type, 3 layers",2878534,159668,43,3.3056,0.147,0.431,0.587,0.1145,0.4407,-0.095,0.5262,1191.4
n2l3,"2 qubits/type, 3 layers",2878534,159668,44,3.2992,0.139,0.433,0.578,0.1097,0.4414,-0.0952,0.5263,1236.5
n2l3,"2 qubits/type, 3 layers",2878534,159668,45,3.2895,0.125,0.443,0.589,0.1129,0.4421,-0.0952,0.5305,1217.7
n2l3,"2 qubits/type, 3 layers",2878534,159668,46,3.2839,0.151,0.442,0.573,0.1186,0.4422,-0.0948,0.5296,1194.3
n2l3,"2 qubits/type, 3 layers",2878534,159668,47,3.2772,0.141,0.437,0.588,0.117,0.4436,-0.0953,0.5301,1249.3
n2l3,"2 qubits/type, 3 layers",2878534,159668,48,3.2722,0.134,0.439,0.588,0.1232,0.4446,-0.0954,0.532,1225.7
n2l3,"2 qubits/type, 3 layers",2878534,159668,49,3.26,0.14,0.436,0.589,0.1196,0.4451,-0.0948,0.5314,1226.1
n2l3,"2 qubits/type, 3 layers",2878534,159668,50,3.2563,0.131,0.434,0.6,0.1228,0.4457,-0.0948,0.532,1229.6
n2l3,"2 qubits/type, 3 layers",2878534,159668,51,3.2466,0.151,0.445,0.603,0.1222,0.4462,-0.0955,0.5357,1272.3
n2l3,"2 qubits/type, 3 layers",2878534,159668,52,3.2405,0.144,0.431,0.588,0.123,0.4478,-0.0953,0.534,1213.0
n2l3,"2 qubits/type, 3 layers",2878534,159668,53,3.2347,0.144,0.44,0.593,0.1194,0.448,-0.0949,0.5339,1222.5
n2l3,"2 qubits/type, 3 layers",2878534,159668,54,3.2259,0.156,0.447,0.607,0.1222,0.4489,-0.0944,0.5384,1285.2
n2l3,"2 qubits/type, 3 layers",2878534,159668,55,3.2218,0.152,0.455,0.603,0.1226,0.4496,-0.0956,0.5373,1231.7
n2l3,"2 qubits/type, 3 layers",2878534,159668,56,3.2153,0.145,0.435,0.614,0.1212,0.4496,-0.0953,0.5388,1220.0
n2l3,"2 qubits/type, 3 layers",2878534,159668,57,3.205,0.147,0.447,0.62,0.1256,0.4499,-0.0955,0.5378,1247.1
n2l3,"2 qubits/type, 3 layers",2878534,159668,58,3.2041,0.138,0.451,0.614,0.126,0.4505,-0.0952,0.5393,1265.0
n2l3,"2 qubits/type, 3 layers",2878534,159668,59,3.1989,0.153,0.447,0.608,0.1278,0.4514,-0.0953,0.5403,1220.9
n2l3,"2 qubits/type, 3 layers",2878534,159668,60,3.1906,0.145,0.444,0.604,0.1262,0.4519,-0.0951,0.5404,1215.8
n2l3,"2 qubits/type, 3 layers",2878534,159668,61,3.1841,0.157,0.458,0.6,0.1282,0.4518,-0.0955,0.5398,1324.8
n2l3,"2 qubits/type, 3 layers",2878534,159668,62,3.1789,0.152,0.463,0.615,0.1328,0.4526,-0.0953,0.5407,1260.1
n2l3,"2 qubits/type, 3 layers",2878534,159668,63,3.1745,0.148,0.459,0.623,0.1258,0.4535,-0.0952,0.5436,1226.4
n2l3,"2 qubits/type, 3 layers",2878534,159668,64,3.1766,0.163,0.475,0.628,0.1322,0.4544,-0.0961,0.5466,1225.3
n2l3,"2 qubits/type, 3 layers",2878534,159668,65,3.1636,0.153,0.467,0.616,0.1286,0.4545,-0.0962,0.5461,1225.0
n2l3,"2 qubits/type, 3 layers",2878534,159668,66,3.1579,0.152,0.463,0.624,0.1282,0.4554,-0.096,0.5447,1250.2
n2l3,"2 qubits/type, 3 layers",2878534,159668,67,3.1548,0.15,0.461,0.619,0.1302,0.4559,-0.0953,0.5477,1236.6
n2l3,"2 qubits/type, 3 layers",2878534,159668,68,3.1493,0.14,0.456,0.613,0.1274,0.4565,-0.0959,0.5482,1285.3
n2l3,"2 qubits/type, 3 layers",2878534,159668,69,3.1434,0.156,0.464,0.619,0.1362,0.4572,-0.0957,0.547,1313.4
n2l3,"2 qubits/type, 3 layers",2878534,159668,70,3.1429,0.166,0.473,0.618,0.1294,0.4571,-0.0957,0.5478,1336.1
n2l3,"2 qubits/type, 3 layers",2878534,159668,71,3.1339,0.151,0.455,0.621,0.1306,0.458,-0.096,0.5497,1290.9
n2l3,"2 qubits/type, 3 layers",2878534,159668,72,3.1334,0.163,0.472,0.622,0.1346,0.4583,-0.0958,0.5502,1216.9
n2l3,"2 qubits/type, 3 layers",2878534,159668,73,3.1315,0.158,0.463,0.635,0.1344,0.4591,-0.0961,0.5489,1206.4
n2l3,"2 qubits/type, 3 layers",2878534,159668,74,3.1261,0.155,0.48,0.63,0.1358,0.4592,-0.0963,0.5474,1225.4
n2l3,"2 qubits/type, 3 layers",2878534,159668,75,3.118,0.154,0.482,0.62,0.1376,0.4599,-0.0965,0.553,1352.9
n2l3,"2 qubits/type, 3 layers",2878534,159668,76,3.1139,0.157,0.48,0.631,0.137,0.4601,-0.0968,0.5521,1275.4
n2l3,"2 qubits/type, 3 layers",2878534,159668,77,3.1121,0.173,0.466,0.634,0.1384,0.4605,-0.0966,0.5534,1243.8
n2l3,"2 qubits/type, 3 layers",2878534,159668,78,3.1068,0.16,0.47,0.615,0.1384,0.4613,-0.0965,0.553,1196.9
n2l3,"2 qubits/type, 3 layers",2878534,159668,79,3.1064,0.16,0.472,0.634,0.1318,0.4614,-0.0966,0.5538,1209.9
n2l3,"2 qubits/type, 3 layers",2878534,159668,80,3.0984,0.16,0.474,0.634,0.1326,0.4616,-0.097,0.553,1253.0
n2l3,"2 qubits/type, 3 layers",2878534,159668,81,3.0935,0.169,0.486,0.635,0.1302,0.4621,-0.0972,0.5543,1225.0
n2l3,"2 qubits/type, 3 layers",2878534,159668,82,3.0914,0.161,0.478,0.632,0.1338,0.463,-0.0967,0.5587,1304.7
n2l3,"2 qubits/type, 3 layers",2878534,159668,83,3.0873,0.176,0.473,0.654,0.1356,0.4632,-0.0971,0.5574,1240.4
n2l3,"2 qubits/type, 3 layers",2878534,159668,84,3.0855,0.168,0.459,0.636,0.1368,0.4629,-0.0971,0.5564,1288.4
n2l3,"2 qubits/type, 3 layers",2878534,159668,85,3.0789,0.173,0.482,0.653,0.1366,0.4634,-0.0973,0.5606,1250.7
n2l3,"2 qubits/type, 3 layers",2878534,159668,86,3.0792,0.16,0.477,0.63,0.1356,0.4636,-0.0972,0.5571,1281.4
n2l3,"2 qubits/type, 3 layers",2878534,159668,87,3.0731,0.176,0.488,0.649,0.1362,0.4651,-0.0972,0.5614,1258.4
n2l3,"2 qubits/type, 3 layers",2878534,159668,88,3.0726,0.178,0.484,0.626,0.1362,0.4654,-0.0971,0.5609,1219.3
n2l3,"2 qubits/type, 3 layers",2878534,159668,89,3.0668,0.174,0.465,0.635,0.136,0.4652,-0.0976,0.5612,1264.1
n2l3,"2 qubits/type, 3 layers",2878534,159668,90,3.0634,0.159,0.482,0.643,0.1396,0.4662,-0.0973,0.5625,1208.3
n2l3,"2 qubits/type, 3 layers",2878534,159668,91,3.0589,0.169,0.476,0.646,0.1348,0.4658,-0.0975,0.5655,1192.9
n2l3,"2 qubits/type, 3 layers",2878534,159668,92,3.0572,0.174,0.473,0.64,0.1416,0.4667,-0.0972,0.5694,1210.1
n2l3,"2 qubits/type, 3 layers",2878534,159668,93,3.0545,0.169,0.48,0.646,0.1386,0.4667,-0.0977,0.5636,1209.9
n2l3,"2 qubits/type, 3 layers",2878534,159668,94,3.0508,0.174,0.489,0.641,0.1408,0.4673,-0.0975,0.566,1224.5
n2l3,"2 qubits/type, 3 layers",2878534,159668,95,3.0489,0.18,0.497,0.653,0.1424,0.4673,-0.0974,0.566,1214.4
n2l3,"2 qubits/type, 3 layers",2878534,159668,96,3.0421,0.174,0.472,0.652,0.1418,0.468,-0.0972,0.5675,1272.8
n2l3,"2 qubits/type, 3 layers",2878534,159668,97,3.041,0.193,0.481,0.646,0.1418,0.4684,-0.0978,0.5657,1215.2
n2l3,"2 qubits/type, 3 layers",2878534,159668,98,3.0389,0.182,0.491,0.651,0.1442,0.4694,-0.0972,0.5675,1202.9
